Pharmacy Name	Type	Phone	Address	Area/LGA	Verification Status	Live-Verified
Ayom Pharmacy	Retail	0803 374 1361	16 Adewunmi Adu Street, Off Jibowu Road, U-Turn Bus stop	Abule Egba	Verified	Verified from published directory
DrugMaster Pharmacy	Retail	0708 937 3692	1 Prince Adesua Street, Abule Egba	Abule Egba	Verified	Verified from published directory
Fiasmad Pharmacy	Retail	0803 325 5444	98 Agbe Road, U-Turn Bus stop	Abule Egba	Verified	Verified from published directory
Health Save Pharmacy	Retail	0810 276 8363	5 Baba Egba Street, Ile Iwe Bus Stop, Meran, Lagos	Abule Egba	Verified	Verified from published directory
Josfekmart Pharmacy & Store	Retail	0802 491 9520	146 Ekoro Road, Ekoro Junction, Abule Egba	Abule Egba	Verified	Verified from published directory
Jubilant Pharmacy	Retail	0805 513 2851	Ahmadiyya Bus stop, Lagos-Abeokuta Expressway	Abule Egba	Verified	Verified from published directory
KallyCare Pharmacy	Retail	0806 631 2098	116/118 Ekoro Road, Abule Egba	Abule Egba	Verified	Verified from published directory
Nikub Triumph Pharmacy	Retail	0802 526 7678	Ahmed Mohammed Way, Abule Egba, Lagos	Abule Egba	Verified	Verified from published directory
Ramsgate Pharmacy	Retail	0807 089 2803	Beside Uptown Hospital, Ijaiye Bus stop, Lagos-Abeokuta Expressway	Abule Egba	Verified	Verified from published directory
Tito B. Pharmacy	Retail	0807 928 7553	53 Charity Road, New Oko Oba, Abule Egba	Abule Egba	Verified	Verified from published directory
Drugrite Pharmacy	Retail	0805 674 8647	3 Agbado Station Road, Ijaiye Bus stop, Agbado	Agbado	Verified	Verified from published directory
Abek Pharmacy	Retail	0808 430 0136	143 Ipaja Road, Agbotikuyo Bus stop, Agege	Agege	Verified	Verified from published directory
Atidam Pharmacy	Retail	0803 337 8445	1 Olayiwola Street, Charity Road, Oko Oba, Agege	Agege	Verified	Verified from published directory
Beginning & End Pharmacy	Retail	0805 937 9672	1 Church Street by Elere Police Station, Agege	Agege	Verified	Verified from published directory
Ca & Jo Pharmacy	Retail	0803 437 3075	1 Alfa-Nla Road, Agege	Agege	Verified	Verified from published directory
Cimis Pharmacy	Retail	0803 778 4608	32 Adealu Street, Adealu, Agege	Agege	Verified	Verified from published directory
Drug for All Pharmacy	Retail	0803 505 8640	70 Amoo Street, Orile-Agege	Agege	Verified	Verified from published directory
Ebechi Pharmacy	Retail	0812 566 1819	21 Balogun Street, Pen-Cinema, Moshalashi, Agege	Agege	Verified	Verified from published directory
Hycax Pharmacy	Retail	0806 345 7903	37 Alfa-Nla Street, Agege	Agege	Verified	Verified from published directory
Ify Peters Pharmacy	Retail	0806 982 4993	224 Old Ipaja Road, Mulero Bus-stop, Agege	Agege	Verified	Verified from published directory
Jaybion Pharmacy	Retail	0802 322 9843	Suite A, Bola Tinubu Shopping Complex, Agege	Agege	Verified	Verified from published directory
Kanymed Pharmacy	Retail	0905 691 0133	1 Oko Oba Road, Banko Plaza, Agege	Agege	Verified	Verified from published directory
Letonia Pharmacy	Retail	0803 392 2445	65 Alfa-Nla Street, Agege	Agege	Verified	Verified from published directory
Makbi Pharmacy	Retail	0816 501 8825 / 0703 022 2035	2 Jaiye Olowu Street, Opp Swipha, Dopemu, Agege	Agege	Verified	Verified from published directory
Metro Plus Pharmacy	Retail	0703 890 2557	24 Ogunnaike Street, Adealu, Agege	Agege	Verified	Verified from published directory
Monmak Global Resources	Retail	0812 554 4135	2 Ayige Street, Orile Agege	Agege	Verified	Verified from published directory
Mooveon Pharmacy	Retail	Not listed	30 Iju Road, Pen Cinema, Agege	Agege	Needs phone verification	
OTS Pharmacy	Retail	0812 554 4135	2 Ayige Street, Orile Agege	Agege	Verified	Verified from published directory
Pambonac Pharmacy	Retail	0818 182 5176	112 Old Abeokuta Road, Agege	Agege	Verified	Verified from published directory
Petmaur Pharmacy	Retail	0905 191 9024	Block A, Suite 4, Bola Tinubu Shopping Complex, Agege	Agege	Verified	Verified from published directory
Prognosy Pharmacy	Retail	0909 864 1641	359 Old Agege Motor Road, Oko Oba, Agege	Agege	Verified	Verified from published directory
Prophilax Pharmacy	Retail	0703 122 1056	148 Off Oniwaya Road, Agege	Agege	Verified	Verified from published directory
Ransomed Pharmacy	Retail	0803 669 1177	1 Babs Ogunwole Street, Oko Oba, Agege	Agege	Verified	Verified from published directory
Samtex Pharmacy	Retail	0803 722 3000	24 Ayige Road, Funmilayo Street, Agege	Agege	Verified	Verified from published directory
Skills Global Care Pharmacy	Retail	0708 463 7410	2A Shitta Street, Dopemu, Agege	Agege	Verified	Verified from published directory
Tanbimex Pharmacy	Retail	0813 317 8697	15 Okeho Street, Pako Bus-stop, Dopemu	Agege	Verified	Verified from published directory
Tymed Pharmacy (Online Pharmacy)	Retail / Online	+234 701 953 4153	10 E. Mac Yoroki Street, Agungi East Estate	Agungi	Phone on record	
Billhills Healthcare & Pharmacy	Retail	0904 026 4298	Ojaja Mall, Abraham Adesanya, Ogombo Road, Ajah	Ajah	Verified	Verified from published directory
Blessed Hossanah Pharmacy	Retail	0802 930 5923	Shop 29 NEPA Road, Ajah	Ajah	Verified	Verified from published directory
Drug Matter Pharmacy	Retail	0802 313 0814	Ado Road, Ajah	Ajah	Verified	Verified from published directory
Elfimo Pharmacy & Stores (Ikota)	Retail	0812 908 3071	Shop H-94 Ikota Shopping Complex, Ajah	Ajah	Verified	Verified from published directory
MedExpress Pharmacy	Retail	0803 300 1059	7 Adewale Kolawole Crescent off T.F Kuboye Street, Ajah	Ajah	Verified	Verified from published directory
Primeah Pharmacy	Retail	Not listed	17/18 Lekki Epe Expressway, Oko Ado, Ajah	Ajah	Needs phone verification	
R-Kay Pharmacy	Retail	No public number on record	Not specified	Ajah	Needs phone verification	
Guardalife Pharmacy	Retail	Not listed	No 8 Ajibade Babatola Street, Ajao Estate	Ajao Estate	Needs phone verification	
Mednet Pharmacy	Retail	0907 313 9870	50 Fatai Irawo Street	Ajao Estate	Phone on record	
Primus Pharmacy	Retail	+234 816 617 7733	14 Awoniyi Elemo St	Ajao Estate	Phone on record	Confirmed
